Comment,Sentiment
"""In a room with 27 people, can everyone shake hands with 9 people?"" No, there's a pandemic",0
"""It is impossible to simply walk off with these documents and keep them.  In order  to do that, you have to purposely want to take them away.  I can't understand it.""  -  Mick Mulvaney",0
"""It is impossible to simply walk off with these documents and keep them.  In order  to do that, you have to purposely want to take them away.  I can't understand it.""  -  Mick Mulvaney",0
"""It was a beautiful car explosion. A perfect car explosion. People tell me they've never seen such as perfect car explosion.""",2
"""It's 2019 there's no way you're bad at computers"" 
You've clearly never worked in tech support.",0
"""It's 2019 there's no way you're bad at computers"" 
You've clearly never worked in tech support.",0
"""It's a printer""
Lol. Doesn't even matter what kind of printer, everyone can relate.",1
"“It’s nice to have a bag that doesn’t scream designer” well I have a wardrobe full of clothes that don’t even whisper designer                                                     



   

(Y’all it makes me so happy that I made you laugh 💖)",2
"“Leave them alone”, I absolutely agree. Another example of the Federal Government F ing things up.",0
"“Leave them alone”, I absolutely agree. Another example of the Federal Government F ing things up.",0
"“Look at me now!” What an iconic speech, the whole thing.",2
"""Nothing should look sad. It should look bright.""

Good to know when the aliens come down looking for human sashimi they won't be coming after me.",2
“Once you spend 5 to 10 grand on magic cards you kinda don’t wanna pay for them anymore” really hits home for me.,0
“Once you spend 5 to 10 grand on magic cards you kinda don’t wanna pay for them anymore” really hits home for me.,0
"""one of the best things about dude is that he never takes credit for himself wheb he achieves something. He always respect us. the audience, and his  team, and he is always polite is all of his videos. We congratulate ourselves on this achievement. More to Come and everything to🇮🇳""""",2
"""one of the best things about dude is that he never takes credit for himself when he achieves something. He always respect us, the audience,and his team, and he always polite in all of his video",2
"""Perfection is the enemy of process""
Hope this quote makes sense, I didn't think too much before typing it",1
"""Putin is the greatest gift to NATO since the end of the cold war"". Now thats funny!",2
"""Shout out to all my badminton players out there i know your sport doesnt get alot of love""
Thats hits me right in the feels man, thank you",2
"""Since when were pterodactyls not dinosaurs?""

""Since ever"" That is probably one of the greatest answers",2
"""Some dogs will let you brush their teeth""

*Shows Jack struggling vehemently against having his teeth brushed*",1
"""Success is the best revenge"" my dad used to say.. and its true🤗",2
"""Teacher bot can't teach, But it can test"" Did you just explain the entire American School system?",0
"""Teacher bot can't teach, But it can test"" Did you just explain the entire American School system?",0
“That’s my drug stash - Iam taking it with me.” Cops come and confiscate the stash. “Your honor i’d like you to tell the cops not to look at the stash the took - ok with you?” 😂😂😂 unbelievable 🤪,1
"""The end of the Cold War brought an end to many of the proxy wars through which the two sides struggled to exert their influence""",1
"""The longest shot has won the Kentucky Derby"" gives me chills and make me smile what a quote and a race...",2
"""The main barrier is not intellectual - it's emotional"" was taken to heart. Thanks for the video",2
"""Their bad behavior shouldn't be the cause of your heart-attack.""
Brilliant!",0
"""Their bad behavior shouldn't be the cause of your heart-attack.""
Brilliant!",0
"“There’s no way to enter a serial number, and search for the owner.”
How are we ever supposed to stop gun violence with a stupid law like that?",0
"“There’s no way to enter a serial number, and search for the owner.”
How are we ever supposed to stop gun violence with a stupid law like that?",0
"""these creative children have turned Into these Teenagers who are unwilling to think outside the box.""
Im only 13 and i felt that in my soul.",0
"""these creative children have turned Into these Teenagers who are unwilling to think outside the box.""
Im only 13 and i felt that in my soul.",0
"“Victory is assured…if we receive $100,000,000,000 this time.”",2
"“We are learning how many documents were allegedly took”……. Lol

Does anyone but me understand that past presidents have clearance for classified material? And are briefed on a regular basis…..",1
"""WE DEFEATED THE WRONG ENEMY!"" Now they are destroying us from within",0
"""WE DEFEATED THE WRONG ENEMY!"" Now they are destroying us from within",0
"""We don't build the lives we want  by saving time. We build the lives we want and time saves itself."" ❤",2
"""We the people are the rightful masters of both Congress and the courts. not to overthrow the Constitution but to overthrow the men who pervert the Constitution"". -Abe Lincoln",1
"""Will you make people stop cheating?""
""No""
""Alright, then I'm just going to openly use the method of cheating and tell anyone and everyone""",0
"""Will you make people stop cheating?""
""No""
""Alright, then I'm just going to openly use the method of cheating and tell anyone and everyone""",0
"@MKBHD I""m a photographer and use the Peak EDC V2.  I'm impressed you got a 16"" into the 20L  I'm sure it's a snug fit and doesn't leave alot of room for a ipad too.  Wanted to give you a little tip I found on that bag, here goes: The main compartment has a pass through to the top zip area where phones, airpods, etc go.  You just have to fish a cable through the corner.  I do this by unzipping the side compartment enough to fish through the cable.  It makes it so I can leave a pass through USB travel battery charger with folding prongs, that means I plug in all my devices when they're in the zip area (laptop, phone, tablet and airpods) and they all get charge from the battery AND when I get to the hotel late, I just plug one one cable into the wall outlet and I hear all my devices chime in unison that they are now charging neatly in place.  Not only that when they're done charging the battery starts charging.  I wake up with everything ready to go.  Hope you enjoy trying this out. :)",2
"**The movie explains how to kill him** You need to make him be afraid you. What ever he turns into, you need to face that fear and fight back. Once Pennywise realises that you aren't scared, he will begin to starve because he ""feeds"" off of fear. Once he starves, and is weakened, you can finish him off for good.",0
"**The movie explains how to kill him** You need to make him be afraid you. What ever he turns into, you need to face that fear and fight back. Once Pennywise realises that you aren't scared, he will begin to starve because he ""feeds"" off of fear. Once he starves, and is weakened, you can finish him off for good.",0
"*19:30*
*Let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative!*
😃",2
"*19:57*
*Let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative!*
😀",2
"*21:11*
*Let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative!*
😊",2
"*26:36*
*Let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative!*
😀",2
"*27:37*
*Let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative!*
😁",2
"*32:29*
*Let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative!*
😀",2
"*35:45*
*Let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative!*
😊",2
"*41:57*
*Let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative!*
😁",2
"*42:19*
*I'm honestly impressed by the time and effort you put into these videos, Keep it up!*
🙂",2
"*52:30*
*Let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative!*
😄",2
"*55:13*
*I'm honestly impressed by the time and effort you put into these videos, Keep it up!*
😁",2
"*58:42*
*Let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative!*
😆",2
"*59:52*
*I'm honestly impressed by the time and effort you put into these videos, Keep it up!*
😊",2
"*Can we just take a moment to appreciate how much time and effort he put into these videos?*
 It's unbelievable, and I think they deserve a lot more than that  💘 💘",2
*Golden*,1
"*has one of the most incredible plays in golf ever*

Commentators: wow… nice.",2
*I like presidents who DON'T try to steal classified nuclear documents.*,1
"*Investing in crypto now should be in every wise individuals list, in some months time you'll be ecstatic with the decision you made today.*",2
*Let’s all appreciate the effort he makes in his videos just so we don’t miss anything and to keep us happy* 💙 💙,2
*Let's take the moment to appreciate how much effort and time he puts into his content for us*  💙 💙,2
*Muler is more ballboi than a footballer*,0
*Muler is more ballboi than a footballer*,0
"*This video is not for children, it's shocking* ALLTIME.ML
Mr. Dunn - respect to you.",0
"*This video is not for children, it's shocking* ALLTIME.ML
Mr. Dunn - respect to you.",0
"#41 That cheerleader got her head in the game. All puns intended 😂
Thank you for this video. They're all great!",2
#82 5:05 he pushed it into his own net🤣🤣,1
"#AskGCNTech after two years of running tubes, I finally went tubeless a couple of months ago. I managed to puncture my tyre the other day. Sealant didn’t do the trick nor did a couple of slugs - even tried a patch inside the tyre. The puncture was not on the sidewall and may have been 3mm large. Given the tire had plenty of life left, I am gutted that I may have to discard the tire now. When would you come to a decision that a tubeless tire is KO?",0
"#AskGCNTech after two years of running tubes, I finally went tubeless a couple of months ago. I managed to puncture my tyre the other day. Sealant didn’t do the trick nor did a couple of slugs - even tried a patch inside the tyre. The puncture was not on the sidewall and may have been 3mm large. Given the tire had plenty of life left, I am gutted that I may have to discard the tire now. When would you come to a decision that a tubeless tire is KO?",0
"#AskGCNTech As a heavier rider, I feel I’m always in the max range of gears, either hardest gear on flat’sh roads or my easiest gear when I see any sustained gradients. I currently run a compact chain set with a 12-30 cassette on the rear. Would I benefit from upping my chain set to give me more usable gears or would this just make my climbing problem even worse due to the worse range at the rear",0
"#AskGCNTech As a heavier rider, I feel I’m always in the max range of gears, either hardest gear on flat’sh roads or my easiest gear when I see any sustained gradients. I currently run a compact chain set with a 12-30 cassette on the rear. Would I benefit from upping my chain set to give me more usable gears or would this just make my climbing problem even worse due to the worse range at the rear",0
"#askgcntech Riding in a strong crosswind the other day, I wondered if a high cadence would give a gyroscope effect and reduce buffeting from the wind.  Presumably from feet and shoes if so. Can Ollie show us the maths please.",1
"☕ For all the coffee lovers, don’t forget to check out Cometeer and save $20 on your first order!
➡ https://cometeer.com/excessorize

➡️ WATCH: Best Gifts Under $20 - https://youtu.be/fTjzQll903I",2
"♥️𝗧𝗿𝗲𝗻𝗱𝗶𝗻𝗴 𝗮𝗱𝘂𝗹𝘁 𝗽𝗼𝗿𝗻 𝘃𝗶𝗱𝗲𝗼𝘀 𝗼𝗻𝗹𝘆❤️ Alles sehr schön. Aber zuerst zusammen die Nummern 10 und 1. Eine warmthhh.Online Brünette und eine andere Blondine. Es wäre unfairj, wenn ich 4 wählen würde",1
❤️,2
"❤Only for fans over 18 year⤵️ Alles sehr schön. Aber zuerst zusammen die Nummern 10 und 1. Eine verwohn.online Brünette und eine andere Blondine. Es wäre unfair, wennx ich 4 wählen würde",1
🏋️World Record,1
👍👍Excellent tips! Worth saving and of course sharing with home makers. 👌,2
🔥🔥🔥🔥,2
🤟,1
🤣🤣🤣🤣🤣🤣🤣🤣🤣,1
😘  *I love how there making permanent changes to their house for our entertainment* ❤️ 👍,2
😶♥️,2
😻😅 കേരളത്തിൽ ആദ്യമായി പെട്രോളിനെ എയ്സ് ആക്കിയ M4Tech മച്ചാന്മാർ 💞🔥🔥💥,1
🙄,0
🙄,0
🙏🙏🙏🙏🙏🙏🙏👍👍👍👍🐎,2
"🚨 DP TOUR TICKETS AVAILABLE NOW 
🎟 http://DudePerfect.com/Tour",2
"0:00 Intro
0:49 Your classmates aren't better or worse
1:51 Focus solely on your coursework
3:07 Coffee question
4:18 Join a club
5:05 Attend hackathons
6:06 Learn computer science terminology
7:18 Don't cram or procrastinate
8:51 Don't buy a book unless you need it
9:28 Outro

i know you took my job but here i m",0
"0:00 Intro
0:49 Your classmates aren't better or worse
1:51 Focus solely on your coursework
3:07 Coffee question
4:18 Join a club
5:05 Attend hackathons
6:06 Learn computer science terminology
7:18 Don't cram or procrastinate
8:51 Don't buy a book unless you need it
9:28 Outro

i know you took my job but here i m",0
"0:00-Intro
0:37-Backpack
1:40-16-Inch MacBook Pro/M1 Max
2:23-SD Card Reader
2:42-AirPods Max
2:59-AirTags
3:07-Body Cap For Canon R5
3:13-Webcam
3:47-Canon R5
4:18-Cables
4:54-Power Adapter/10W
5:02-RealMe Power Adapter
5:33-Apple Watch Charger
6:00-Pens
6:11-Adapter
6:40-Wallet
7:50-iPhone 13 Pro
8:14-Pixel 6 Pro


Bye",1
0:06 this is how we Ukrainians feel when your missiles fly over us all the time watching our fellow friends and family die at your hands,0
0:06 this is how we Ukrainians feel when your missiles fly over us all the time watching our fellow friends and family die at your hands,0
"0:33 this is what literally every hockey team does when a player breaks a stick, the only difference here is that he scored right after",1
0:54 Best teammate in the history of the world.  He jumped off the bench and was cheering way before the ball went in.,2
04;57 - I did this playing soccer for my high school during a game. Very memorable and always fun to think back on.,2
"1:08:26 what a headshot in close range,🥵",1
"1:09 ‘No, just you’ actually got me🤣🤣 I love how they choose professionals with such great fun and easy going personalities❤️It makes science a little less nerdy",2
"1:10 Love the inevitable Evan Longoria clip, but right after that is the volleyball player going into the stands to keep the ball alive. I’m surprised that they allowed that! 😳",2
1:13 That was the best golf shot I've ever seen.,2
1:14 No sport event anywhere in history can come near this one.... GOD HIMSELF,0
1:14 No sport event anywhere in history can come near this one.... GOD HIMSELF,0
1:15 made me laugh way harder than it should have,2
1:15:52 Don't Miss.....😂😂😂😂,1
"1:20 Led Message Panel
2:44 8k/4k HDMI 2.1 Switcher
3:57 Womier Phantom Keyboard
6:17 Pocket Operator
8:52 Behringer UM-2 Audio Interface",1
"1:24 #94, to be fair, even if he had caught it, he was probably coming down out of bounds.",1
1:24 is a smart move - shot clock doesn't move until he touches the ball (but the game clock DOES roll),2
"1:26 King 👑 
Amazing video bro! Thank you😎🔥👍",2
"1:56 wow, the accuracy to make that ball come back to him exactly where he needed off the rim is impressive. Tiny bit too low or high and it wouldn’t have worked",1
"1.Think in terms of experiment
2.Think in terms of expected value
3.Fear is your compass
4.Foundation of consistent action
5.Mental board of advisors",1
"1) ""Stop being selfish"" — Audience first
It is not about you, but about your audience.
Cut length, people won't pay attention for a long time

2) ""Grab me!"" — What is the one thing you want me to remember?
No matter what you communicate, make sure you bring across your most important point.

3) ""Keep it simple""
One sentence/paragraph is better than two.
Use simple sentence structure.
Use simple words.

4) ""Be human, write like a human""
Don't try to be a Harvard professor; bring your point across like you are talking to someone at the bar.

5) ""Just stop"" — Use as few words and sentences as possible

There you go, this would not have needed 15 minutes.",1
"1) 0:28 Horizon Forbidden West
2) 1:14 God of War: Ragnarok
3) 1:49 Gran Turismo 7
4) 2:30 Pioner
5) 2:57 Elden Ring

(feel free to complete by clicking on reply)",1
10:30 - 11:15 is the life changing quote for me. Trying to be a perfectionist at everything and eventually procrastinating is the thing that I'm doing over these years. Thank you 💖,2
"10:35
This is a common misconception. While part of the reason was the battery being too thin, the main issue was a manufacturing defect in the corner of most of the batteries at launch, which was a tiny dent in the top (left?) corner. This would cause the battery to eventually short out, as the dent caused both terminals to eventually touch each other. Most people's phones were exploding while fast charging, which was likely due to the increased power going through the battery, and lithium-ion batteries do not take well to being shorted out like that.

Edit: Normally defects of that scale would be perfectly fine, and would never cause issues, but they made the battery too thin, meaning it shorted it out easier. Just wanted to clarify that.",0
"10:35
This is a common misconception. While part of the reason was the battery being too thin, the main issue was a manufacturing defect in the corner of most of the batteries at launch, which was a tiny dent in the top (left?) corner. This would cause the battery to eventually short out, as the dent caused both terminals to eventually touch each other. Most people's phones were exploding while fast charging, which was likely due to the increased power going through the battery, and lithium-ion batteries do not take well to being shorted out like that.

Edit: Normally defects of that scale would be perfectly fine, and would never cause issues, but they made the battery too thin, meaning it shorted it out easier. Just wanted to clarify that.",0
"10/10 very basic instructions, tasted Incredible.",2
"14:42, this is the most painful one on this list if you ask me. Out of all the premature celebrations out there resulting in losses, this one's just different. The game was over lol. It's not like someone tripped you up before getting a touchdown. The game is literally over, all you do is hold onto the ball for a couple seconds and that's it. The Washington Wizards were up by 3 at that point. Even if the apposing team has time to foul you, you hit just 1 free throw and it's over. Even if you miss both, they have to somehow rebound the ball and go for a full court shot to TIE the game in an impossible amount of time... Long story short, that throw lost them the game after OT lol... Just look at his fellow teammates staring at him in total disbelief afterwards. Gotta be one of the worst throws in sports history.",0
"14:42, this is the most painful one on this list if you ask me. Out of all the premature celebrations out there resulting in losses, this one's just different. The game was over lol. It's not like someone tripped you up before getting a touchdown. The game is literally over, all you do is hold onto the ball for a couple seconds and that's it. The Washington Wizards were up by 3 at that point. Even if the apposing team has time to foul you, you hit just 1 free throw and it's over. Even if you miss both, they have to somehow rebound the ball and go for a full court shot to TIE the game in an impossible amount of time... Long story short, that throw lost them the game after OT lol... Just look at his fellow teammates staring at him in total disbelief afterwards. Gotta be one of the worst throws in sports history.",0
"18:13 “Would be called a triple doink.”

Well, maybe if it hit the uprights only _three_ times but it hit _four_ times so I think the _”quadruple doink”_ is more fitting.",1
1st meme my dad had gotten me resident evil 4 I had fallen in love with it but my dad saw my explode a granados head and got really surprised at the amount of violence in this 18+ rated game,2
2 :32 what is even more amazing is that he used the support of his opponent’s shoulder to facilitate his own rotation in mid-air. I didn’t see it the first time either😱,2
"2 rekod die buat

1)Perdana menteri pertama yang dijatuhkan melalui pilihan raya
2)Perdana menteri pertama ke penjara.....",1
2:00 can you imagine being able to one day look out a window and determine what the weather is like? the future truly is here,1
2:00:43 🤣🤣🤣🤣🤣🤣🤣,1
"2:09 so I'm guessing when you make an ad for your product do you really want a guy sleeping right in the middle with an ""It is what it is"" pillow? >.< lol while everyone else is having fun
2:37 and that blistering scooter speed of 0-30 meters.... per hour >.< I think you meant kilometers per hour. 
All in all pretty cool stuff. I like the Coolper I can really see that taking off. Huupe seems to be novelty. I can imagine the horror as soon as someone forgets there is a TV there and slams a ball only to shatter the device lol. The life straw actually works. Ive seen several science channels take pond water and view it under a microscope then filter it and view it again. It really does work but it does not filter out chemicals in the water, just microparticles and microbes.",2
2:16 that face tho😂,1
2:18 someone needs to take that glove away before he pokes an eye out,0
2:18 someone needs to take that glove away before he pokes an eye out,0
2:22 It takes a really smart person to do a spiderman frontflip two meters high. I would've never thought of that. Unreal IQ.,1
"2:40 in volleyball, only front row players can block; back row players may jump, but cannot touch the ball (which makes jumping almost pointless); the libero, who is always in the back row,  can't even jump. So the point stands only if the block was made by one of the front row players, which I could not determine.",1
2:48 I would've dropped everyone around me😤,0
2:48 I would've dropped everyone around me😤,0
20:37 só podia ser o Iniesta pra mudar a história hajahajahaja,1
21:00 khi anh duy muốn chở hàng nhưng ko đủ xiền mua xe to :3,1
"21:00 Xếp mấy cái đầu rất mượt, đến cái cuối để lên đổ cả chồng, xem có tức không chứ 😁",1
"21:52 I'm pretty sure that wouldn't be enough to destroy his plan. If let's say one of the three people with the wall managed to answer the question correctly, that's still 2 options eliminated. And with how fast Shirube came up with his  first plan, he had more than enough time to devise a second test to figure which of the remaining two directions was the correct one.",1
21:57  That guy was my best friend as a young kid.  We went to school together.  Great guy!  I will forever cherish this clip as teasing material.,2
"21% making 💵
74% struggling",0
"21% making 💵
74% struggling",0
22:40 best part😂😂😂😂,2
"23:23   -Hermosa elección- 18kissx.uno
los mortales abian -apreciado tan hermosa mujer- 

10:10 Hopiymba:
-Sweeter-
11:12 Sun:
Hotter
00:18 Joonie:
Cooler
18:00 Yoongy:
-Butter-
23:23 Son unos de los mejores conciertos 
mañas no se laymba 

Las elecciones cinematográficas y artísticas son brillantes. Referencias culturales europeas realmente interesantes. Ojalá la cultura europea se representara más a menudo tan bellamente. No puedo dejar de decir ""oh, esto es hermoso"" a lo largo del video. Luz, en serio... el que se encargue de la iluminación, genia",1
"23:23   Hermosa elección Babes.18kissx.Uno
los mortales abian apreciado tan hermosa mujer 

10:10 Hopi:
Sweeter
11:12 Sun:
Hotter
00:18 Joonie:
Cooler
18:00 Yoongy:
Butter
23:23 Son unos de los mejores conciertos 
mañas no se la 

Las elecciones cinematográficas y artísticas son brillantes. Referencias culturales europeas realmente interesantes. Ojalá la cultura europea se representara más a menudo tan bellamente. No puedo dejar de decir ""oh, esto es hermoso"" a lo largo del video. Luz, en serio... el que se encargue de la iluminación, genia",1
"23:23   Hermosa elección LIKEXXX.Uno
los mortales abian apreciado tan hermosa mujer 

10:10 Hopi:
Sweeter
11:12 Sun:
Hotter
00:18 Joonie:
Cooler
18:00 Yoongy:
Butter
23:21 Son unos de los mejores conciertos 
mañas no se la tqzl

Las elecciones cinematográficas y artísticas son brillantes. Referencias culturales europeas realmente interesantes. Ojalá la cultura europea se representara más a menudo tan bellamente. No puedo dejar de decir ''oh, esto es hermoso'' a lo largo del video. Luz, en serio... el que se encargue de la iluminación, genial.",1
23:45 jest mistrz ten koszykarz.,1
"24 Oras Livestream: Augt 22, 2022 _ Replay",1
"27:22 oui ! je constate l'effet de netteté et de clarté , c'est tellement mieux maintenant M4f Wahouu !😊",2
29minutes 48k views 9.3k likes 👍🏻 that is the power of M4Tech,2
"2nd meme
*I have tainted such an innocent soul...*",0
"2nd meme
*I have tainted such an innocent soul...*",0
"3 games in to the season might seem like a bit too soon to be worried about this Liverpool team but, the early indications are that the Liverpool midfield is literally paper thin when it comes to resources. As a long time LFC supporter I can't help but compare the decision to let Sadio Mane go to the same situation with Xavi Alonso some years back. I think that J. Klopp is going to have to put in some serious time working with this squad to get anywhere close to a top 4 position this year. Hope I am wrong but, if I am being honest Man. Utd should have been 4-0 up at halftime.",0
"3 games in to the season might seem like a bit too soon to be worried about this Liverpool team but, the early indications are that the Liverpool midfield is literally paper thin when it comes to resources. As a long time LFC supporter I can't help but compare the decision to let Sadio Mane go to the same situation with Xavi Alonso some years back. I think that J. Klopp is going to have to put in some serious time working with this squad to get anywhere close to a top 4 position this year. Hope I am wrong but, if I am being honest Man. Utd should have been 4-0 up at halftime.",0
3 wins won’t guarantee us a top 4 finish but it’s better than 3 defeats!! Which is where we were last season!!,2
3 years later still not done another annual baseball battle but still love the content keep it up 😄😄😄,2
3:08:57 mayur Bhai speak gali first time 😂😂 Or 3:11:10 😂😂 or 3:22:04 🤫,1
"3:11 Daniel ricciardo, how amazing",2
"3:33 as per George Carlin, I believe that shot is worth 25 points.",2
3:36 Never gets old. The very definition of situational awareness,2
3:43 the fact I’m eating oranges right now 🤣🤣🤣,1
3:45 seein bill get all excited like that describing the play… just let’s you know how exciting and high IQ Ed reed was in his time. Him and Troy are the best safeties I’ve seen in my lifetime by far,2
3:54 incase anyone asks you can grab the puck in hockey. If it is off the ground and the goalie isn’t close enough to catch it. You have to drop it after.,1
"30meters per hour? Jezus I might just walk
P.s. please include rough prices",1
32:52 The reaction from the host is priceless. Don't agree with some of these opinions.,1
"4:03
23:24
28:52 *Well, no one would watch a show called “Orange Pear.” What does that even mean?*
50:58 *S t e p  3 :  N o b o d y  d a t e s  m y  s i s t e r*",0
"4:03
23:24
28:52 *Well, no one would watch a show called “Orange Pear.” What does that even mean?*
50:58 *S t e p  3 :  N o b o d y  d a t e s  m y  s i s t e r*",0
"4:38 Home plate cams take foul tips surprisingly often.  They are almost always leased lenses, and they *always* have 1A skylight filters in front of the lens; the optical cost is more than made up for by breaking a filter (admittedly$4-600) instead of a lens ($40-100K).

There's a reel of that from the Little League World Series, where the same camera takes a hit twice *in the same game*.",1
"4:40 isn't even the whole story. The last time Giancarlo Stanton faced Fiers he hit him in the face, ending his season and prompting reconstructive surgery. That's the reason he (and now many baseball players) wear face flaps on their helmets. The very next time they face off, he hits him again. Even if unintentional, that's nuts.",0
"4:40 isn't even the whole story. The last time Giancarlo Stanton faced Fiers he hit him in the face, ending his season and prompting reconstructive surgery. That's the reason he (and now many baseball players) wear face flaps on their helmets. The very next time they face off, he hits him again. Even if unintentional, that's nuts.",0
47 में ही जनसंख्या बदली हो गई होती तो आज देश में गद्दार नहीं होते,1
"5 years ago, 28-year-old Perisic was denied by Manchester United, reason was too old for the squad.

5 years later, 33-year-old Perisic hold more trophies than Manchester United has for past 5 years, landing in Spurs. 

With 125 minutes plays he made 2 assists, at the same time Manchester United has scored only 1 goal in 2 games. 1 own goal by the opposite.

Very nice of Manchester.",1
5:11 combining the joke with Cody’s laugh makes this amazing lol,2
5:50 That man knows what he just did was impressive as hell. He deserves to feel proud for that.,2
6 months....and at times we had to be reminded a war was going on,0
6 months....and at times we had to be reminded a war was going on,0
6:41 Russell Westbrook Need this ! 😅,1
"6:50
little did he know there was lots of those keyboards on amazon that
he could of got insted of doing that lol",1
7:06 I always play with out my gloves so I did it more then him,1
7:15 edge of the cloud 9:30 hydrogen fuel cell 11:00 star link 12:45 AI  GPT 3 14 50 lithium ion battery  17:20 block chain 19:50 quantum computing.,1
7:37 is just a rare footage of Lionel Messi practising headers,1
765lt is on a different level to any of the others in practically every way.,1
8:56 when you randomly press aggressive tackle on Madden.,1
"8:58 I got the ReMarkable as a note taking/planner. Its has a great design. Really lightweight and better than carrying a note book or two. Subscription, depending who you are, are a hit a miss",2
"9:10  The game was almost over and was a blowout at that point, (Dallas 52, Buffalo 17) yet check out Don Beebe still giving 100% effort. After the game Bill's owner Ralph Wilson walked from the owner's booth to the locker room and thanked Beebe for the play.",2
9:15 This father actually died from the fall trying to get his son a ball. So sad,0
9:15 This father actually died from the fall trying to get his son a ball. So sad,0
90.9% of the comment here be like :;Ne never fail to make me laugh his contact never disappoint us 💓🤪💔,2
"A Amanta fala tanta asneira e viaja tanto, que nem o microfone aguentou!
O MICROFONE PARECIA QUE TINHA TOMADO LSD!3:08:01
😂🤪😂🤪😂🤪😂
E o fantástico motta falou do coroné tiro gomes ou da Amanta?
OLHA A CARA QUE ELA FICOU!😂😂😂👊🇧🇷👏🏻",1
A collection of brilliant cars but I would go for the GT4RS. You can't beat a high revving normally aspirated engine.,2
A cube I can mix up without worrying,1
